,property_type,state,lat,lon,area_m2,price_usd
284,house,Distrito Federal,19.383.512,-99.084.804,115.0,94210.53
285,house,Jalisco,206.460.186,-1.052.267.944,160.0,126315.79
286,apartment,Distrito Federal,19.367.025,-99.170.349,85.0,165789.47
289,house,Querétaro,20.604.974,-100.409.786,110.0,52105.26
290,house,Aguascalientes,2.193.248,-102.297.005,305.0,192105.26
292,house,San Luis Potosí,22.133.745,-101.016.029,126.0,113105.26
293,apartment,Puebla,19.054.064,-98.245.911,87.0,46973.68
294,house,Puebla,190.303.511,-983.143.192,122.0,113684.21
295,house,Morelos,18.947.784,-99.201.675,300.0,242105.26
297,apartment,Distrito Federal,193.418.937,-992.245.237,145.0,244736.84
299,house,Veracruz de Ignacio de la Llave,20.963.127,-97.385.071,200.0,184210.53
300,house,Estado de México,19.550.089,-99.214.828,87.0,51000.0
302,house,Tamaulipas,22.307.415,-97.859.846,61.0,33684.21
303,house,Morelos,188.879.389,-990.247.871,76.0,68421.05
304,house,Yucatán,21.030.668,-89.599.258,144.0,86789.47
305,apartment,Veracruz de Ignacio de la Llave,191.028.372.114,-961.112.308.502,160.0,92105.26
306,house,Distrito Federal,19.353.592,-99.177.275,360.0,230842.11
309,house,Yucatán,210.114.451.792,-895.797.729.492,222.0,113157.89
310,house,Estado de México,19.263.756,-99.540.924,134.0,92105.26
311,house,Estado de México,19.415.097,-98.918.523,85.0,49473.68
312,house,Distrito Federal,19.471.368,-9.908.649,280.0,141052.63
314,house,Veracruz de Ignacio de la Llave,19.125.807,-96.104.954,251.0,139473.68
315,house,Distrito Federal,19.414.261,-99.104.118,167.0,236842.11
316,house,Baja California,32.469.454,-117.003.688,93.0,89421.05
317,house,Estado de México,195.224.961,-99.255.074,230.0,227684.21
318,house,Yucatán,21.039.522,-89.563.911,181.0,97894.74
319,house,Quintana Roo,206.295.586,-870.738.851,143.0,127894.74
320,house,Veracruz de Ignacio de la Llave,1.917.078,-9.612.487,380.0,236842.11
321,house,Chiapas,16.756.552,-93.181.732,326.0,192217.47
322,house,Querétaro,205.745.579,-1.004.129.676,160.0,194736.84
323,house,Jalisco,2.062.192,-103.259.237,250.0,110526.32
324,apartment,Yucatán,210.633.485.156,-896.130.359.243,60.0,46789.47
325,house,Nuevo León,25.749.624,-100.304.192,172.0,121052.63
326,house,Puebla,19.036.623,-98.190.544,204.0,78947.37
327,house,Distrito Federal,19.358.008,-99.127.094,95.0,101157.89
328,house,Chiapas,19.701.565,-101.270.798,250.0,63157.89
329,apartment,Distrito Federal,19.415.143,-9.914.685,70.0,36421.05
330,house,Veracruz de Ignacio de la Llave,181.479.784,-944.626.507,157.0,121052.63
332,apartment,Guerrero,16.794.599,-9.983.012,230.0,207894.74
333,house,Querétaro,20.594.322,-100.365.929,298.0,173684.21
334,house,Morelos,18.919.898,-98.978.835,190.0,97368.42
335,house,Veracruz de Ignacio de la Llave,19.074.387,-96.086.259,245.0,151315.79
336,house,Guerrero,16.758.724,-99.767.563,142.0,100000.0
338,house,Estado de México,19.650.003,-99.220.367,132.0,137105.26
339,house,Estado de México,1.972.876,-99.461.708,90.0,70263.16
341,house,Jalisco,23.634.501,-102.552.788,127.0,84210.53
342,house,Yucatán,20.999.449,-896.334,300.0,228947.37
343,house,Yucatán,210.411.724,-895.550.539,215.0,98162.37
345,house,Puebla,19.105.051,-98.243.682,170.0,97368.42
346,apartment,Yucatán,210.381.057,-895.933.722,186.0,148739.68
347,house,Veracruz de Ignacio de la Llave,19.136.782,-96.123.543,210.0,89473.68
348,house,Baja California,3.263.496,-115.391.907,110.0,102631.58
349,house,Yucatán,21.039.522,-89.563.911,223.0,125926.68
350,house,Veracruz de Ignacio de la Llave,25.535.009,-103.302.429,350.0,42105.26
351,house,Nayarit,207.053.975,-1.052.684.878,101.0,65789.47
352,house,Veracruz de Ignacio de la Llave,25.659.972,-103.366.303,170.0,49473.68
353,house,Tamaulipas,222.722.052,-978.476.749,214.0,128947.37
354,house,Morelos,18.867.191,-99.180.214,184.0,86842.11
355,house,Querétaro,206.962.084,-1.004.506.587,120.0,76315.79
359,house,Distrito Federal,19.285.162,-99.194.185,150.0,110000.0
360,house,Estado de México,19.497.893,-99.244.125,250.0,234210.53
361,apartment,Guerrero,23.634.501,-102.552.788,170.0,157894.74
364,house,Sonora,23.634.501,-102.552.788,383.0,184210.53
365,house,Querétaro,20.389.062,-99.957.622,95.0,48947.37
366,apartment,Guerrero,16.828.667,-99.858.981,137.0,97368.42
367,house,Querétaro,20.705.742,-100.444.016,258.0,210526.32
368,apartment,Distrito Federal,1.935.782,-99.149.406,80.0,68157.89
369,house,Morelos,18.864.874,-98.925.911,121.0,65789.47
370,house,Distrito Federal,19.342.911,-99.224.472,120.0,171949.05
371,house,Estado de México,23.634.501,-102.552.788,228.0,149000.0
372,house,Sonora,29.063.726,-110.976.746,102.0,57894.74
373,house,Nuevo León,25.801.826,-100.196.945,190.0,104736.84
374,house,Querétaro,205.951.924,-1.003.479.663,180.0,120000.0
375,house,Puebla,19.059.084,-98.286.095,165.0,94736.84
376,house,Estado de México,23.634.501,-102.552.788,150.0,35368.42
377,apartment,Querétaro,20.726.007,-100.442.642,135.0,115789.47
378,house,Yucatán,210.278.699,-895.880.314,240.0,184210.53
379,house,Morelos,189.147.310.938,-989.408.111.572,140.0,118421.05
380,house,Yucatán,20.968.147,-89.629.875,70.0,78947.37
381,house,Nuevo León,25.674.595,-100.463.539,234.0,113157.89
383,house,Yucatán,21.039.522,-89.563.911,220.0,118421.05
384,house,Morelos,18.850.763,-98.943.855,160.0,84210.53
385,house,Querétaro,20.726.007,-100.442.642,250.0,194736.84
387,apartment,Puebla,19.056.689,-98.237.817,120.0,115789.47
388,house,Tamaulipas,22.270.658,-97.849.037,380.0,263157.89
389,house,Jalisco,20.748.312,-103.429.504,96.0,77631.58
392,house,Querétaro,20.614.635,-100.416.756,139.0,92105.26
393,house,San Luis Potosí,221.529.880.008,-1.009.653.639.793,250.0,115789.47
394,house,Yucatán,21.039.522,-89.563.911,220.0,94210.53
396,house,Nuevo León,25.723.516,-100.393.311,290.0,181263.16
397,house,Veracruz de Ignacio de la Llave,19.563.767,-96.938.694,300.0,228947.37
398,apartment,Distrito Federal,19.474.885,-99.188.231,92.0,71052.63
399,house,Morelos,188.624.622,-992.120.335,261.0,221052.63
400,house,Estado de México,19.508.698,-98.875.664,260.0,44789.47
401,house,Yucatán,20.968.791,-895.857.147,228.0,66526.32
403,apartment,Estado de México,193.735.635,-992.965.778,126.0,142105.26
405,house,Tamaulipas,222.453.265,-978.431.699,131.0,73684.21
406,apartment,Distrito Federal,19.303.392,-99.243.225,80.0,52428.26
407,apartment,Guerrero,16.794.434,-99.830.807,256.0,307127.16
408,house,Tamaulipas,22.300.137,-97.897.331,111.0,63157.89
409,house,Jalisco,20.749.051,-10.366.731,300.0,147368.42
410,house,Veracruz de Ignacio de la Llave,26.847.851,-101.424.133,160.0,67026.32
411,house,Baja California,23.634.501,-102.552.788,115.0,42631.58
412,apartment,Puebla,1.902.038,-98.207.626,219.0,101315.79
413,house,Hidalgo,200.519.991,-98.755.252,110.0,44736.84
414,house,Yucatán,210.634.817,-896.110.378,250.0,118421.05
415,house,Distrito Federal,19.399.652,-9.916.127,235.0,205263.16
416,house,Durango,24.043.295,-104.636.917,350.0,236842.11
418,house,Veracruz de Ignacio de la Llave,25.551.631,-103.432.737,236.0,39473.68
419,house,Querétaro,20.574.251,-100.388.476,195.0,63157.89
420,apartment,Distrito Federal,19.482.603,-99.194.748,60.0,78947.37
421,house,Morelos,18.953.268,-99.224.525,201.0,78947.37
422,apartment,Morelos,18.891.611,-99.221.756,93.0,49473.68
423,apartment,San Luis Potosí,221.441.622,-1.010.358.237,160.0,89421.05
424,house,Estado de México,192.693.686,-996.021.262,250.0,294736.84
427,house,Yucatán,210.749.983,-895.195.181,242.0,101884.21
428,house,Puebla,18.462.721,-97.414.111,250.0,144736.84
429,house,Estado de México,19.595.285,-99.050.201,120.0,36842.11
430,house,Sonora,27.934.649,-11.094.401,134.0,57894.74
431,house,Sinaloa,247.911.916.858,-1.073.835.468.292,300.0,144736.84
432,house,Distrito Federal,19.500.286,-99.122.093,180.0,118421.05
433,house,Yucatán,21.072.905,-8.965.963,253.0,110526.32
434,house,Tlaxcala,194.171.734,-981.434.147,140.0,44736.84
436,house,Yucatán,21.008.295,-89.591.019,250.0,158210.53
437,house,Morelos,18.864.482,-98.928.802,121.0,65789.47
438,house,Distrito Federal,19.366.935,-99.077.541,208.0,77089.47
439,house,San Luis Potosí,23.634.501,-102.552.788,198.0,110526.32
440,house,Chiapas,16.757.278,-93.134.056,255.0,165043.74
442,house,Nayarit,20.697.244,-105.274.384,160.0,155263.16
444,house,Puebla,1.902.038,-98.207.626,330.0,184210.53
445,house,Quintana Roo,211.773.896,-868.179.603,290.0,118421.05
446,house,Guerrero,16.855.229,-99.918.871,150.0,57894.74
447,house,Tabasco,1.797.423,-92.923.836,110.0,55263.16
449,house,Distrito Federal,19.313.719,-99.231.792,300.0,103684.21
450,house,Durango,255.897.299.138,-1.034.631.872.177,118.0,50000.0
451,house,Quintana Roo,21.161.908,-868.515.279,204.0,157368.42
452,house,Yucatán,2.103.071,-89.618.103,131.0,71052.63
453,apartment,Distrito Federal,1.939.912,-99.141.464,74.0,175368.42
454,house,Yucatán,210.563.227.206,-8.966.288.656,220.0,105263.16
455,house,Estado de México,195.139.313,-992.281.847,160.0,106368.42
456,house,Querétaro,20.598.278,-10.033.121,140.0,92631.58
457,house,Sinaloa,23.270.559,-106.389.061,158.0,71052.63
458,house,Baja California Sur,23.634.501,-102.552.788,80.0,50000.0
460,apartment,Guerrero,168.595.223.103,-998.628.473.282,142.0,110526.32
461,house,Morelos,18.884.224,-98.982.506,150.0,46315.79
462,house,Morelos,18.862.602,-99.213.448,160.0,103157.89
463,apartment,Distrito Federal,1.940.012,-991.532,84.0,93368.42
464,house,Veracruz de Ignacio de la Llave,2.555.617,-103.481.529,307.0,110526.32
465,house,Veracruz de Ignacio de la Llave,25.573.046,-103.443.045,200.0,35789.47
466,house,Morelos,18.858.107,-99.200.287,105.0,72578.95
468,house,Chihuahua,286.569.304,-1.060.919.272,115.0,68421.05
469,house,Veracruz de Ignacio de la Llave,28.684.125,-100.541.089,160.0,44736.84
470,house,Tamaulipas,22.254.078,-97.824.554,140.0,60526.32
471,house,Chiapas,16.766.455,-93.111.488,240.0,67368.42
474,house,Querétaro,20.545.198,-100.407.191,140.0,55263.16
475,house,San Luis Potosí,221.877.427.607,-1.009.580.844.641,200.0,67631.58
476,house,Morelos,18.864.874,-98.925.911,86.0,46315.79
479,apartment,San Luis Potosí,22.133.104,-100.982.117,130.0,72631.58
480,house,Tamaulipas,26.079.573,-98.282.845,268.0,115789.47
481,apartment,Veracruz de Ignacio de la Llave,19.127.317,-96.106.186,160.0,152631.58
482,apartment,Distrito Federal,19.340.305,-99.214.455,60.0,121052.63
483,house,Estado de México,19.517.476,-99.272.892,170.0,97894.74
484,house,Estado de México,19.552.838,-99.251.161,80.0,44105.26
488,apartment,Distrito Federal,193.574.317.235,-992.873.257.399,67.0,139473.68
489,house,Estado de México,1.969.323,-9.922.522,70.0,53097.89
493,house,Distrito Federal,19.325.944,-99.098.311,250.0,107894.74
494,house,Jalisco,20.621.093,-103.319.042,380.0,194736.84
495,house,Baja California,32.647.057,-115.421.524,176.0,102631.58
496,house,San Luis Potosí,22.141.575,-100.900.192,245.0,84210.53
497,house,Puebla,18.978.682,-98.250.015,128.0,68421.05
498,house,Querétaro,20.619.887,-100.392.302,350.0,194736.84
499,house,Morelos,18.892.714,-991.996,285.0,197368.42
500,house,Tamaulipas,22.329.824,-97.880.325,200.0,184210.53
501,apartment,Distrito Federal,19.322.523,-99.141.464,78.0,150000.0
502,house,Chiapas,1.670.635,-93.177.151,115.0,53684.21
503,house,Estado de México,19.297.163,-99.635.183,230.0,105263.16
504,house,Veracruz de Ignacio de la Llave,20.950.622.658,-974.216.314.405,64.0,44736.84
505,house,Yucatán,209.725.515,-896.004.394,229.0,51578.95
506,house,Distrito Federal,19.317.675,-9.909.318,229.0,184210.53
507,house,Morelos,18.879.347,-99.179.871,95.0,71052.63
508,house,Durango,25.625.198,-103.499.954,132.0,45789.47
509,apartment,Distrito Federal,19.401.507,-9.914.682,90.0,91052.63
510,apartment,Distrito Federal,19.474.285,-99.084.981,74.0,36000.0
511,house,Morelos,18.928.623,-99.247.382,220.0,89473.68
512,house,Querétaro,20.520.556,-99.895.833,350.0,205263.16
514,house,Nuevo León,25.662.563,-10.018.013,350.0,157894.74
515,house,Sinaloa,23.246.303,-106.398.103,200.0,52631.58
516,house,Morelos,18.969.294,-99.249.802,198.0,136842.11
517,apartment,Guerrero,167.506.391.062,-99.762.630.685,70.0,43684.21
519,house,Distrito Federal,19.335.116,-99.223.332,90.0,171578.95
520,apartment,Distrito Federal,19.402.944,-99.199.727,70.0,61242.11
521,house,Estado de México,19.682.219,-99.118.782,188.0,163157.89
522,house,Nuevo León,257.214.602,-1.002.735.673,85.0,63157.89
523,house,Querétaro,205.980.665,-1.004.308.988,115.0,71052.63
524,house,Nuevo León,25.672.399,-100.257.777,123.0,64210.53
526,apartment,Distrito Federal,19.399.815,-99.150.806,90.0,120000.0
527,house,Yucatán,209.550.515,-896.793.392,120.0,41052.63
528,house,Chiapas,16.228.815,-92.128.043,147.0,68421.05
529,apartment,Jalisco,2.069.064,-103.393.175,166.0,274592.89
531,house,Estado de México,19.258.327,-99.598.374,215.0,247105.26
532,house,Querétaro,20.726.007,-100.442.642,295.0,273684.21
533,apartment,Distrito Federal,19.403.334,-99.157.755,125.0,241060.53
534,apartment,Baja California,32.451.368,-116.973.935,70.0,36092.11
535,house,Aguascalientes,21.901.482,-10.234.405,350.0,202631.58
536,house,Jalisco,20.302.476,-10.323.781,340.0,313105.26
537,house,Puebla,19.076.204,-98.266.733,117.0,71052.63
538,apartment,Distrito Federal,1.948.778,-99.110.583,65.0,52631.58
539,house,Distrito Federal,193.176.966,-990.612.554,100.0,109210.53
541,house,Quintana Roo,21.129.547,-86.817.017,180.0,97368.42
542,house,Puebla,19.046.724,-98.254.127,136.0,120252.63
543,apartment,Distrito Federal,19.352.431,-99.288.369,80.0,152631.58
544,house,Morelos,18.858.107,-99.200.287,92.0,52398.95
545,house,Querétaro,206.536.084,-1.003.469.826,130.0,88947.37
546,house,Nuevo León,257.542.524,-1.004.034.274,137.0,71052.63
548,house,Yucatán,21.006.756,-89.570.984,155.0,71052.63
549,house,Morelos,18.891.621,-99.071.698,68.0,41578.95
550,house,Distrito Federal,19.317.653,-99.236.291,350.0,176315.79
551,house,Tamaulipas,22.246.319,-9.786.264,163.0,113157.89
552,apartment,Distrito Federal,23.634.501,-102.552.788,100.0,78947.37
553,apartment,Distrito Federal,193.651.763,-992.300.641,66.0,65789.47
554,house,Querétaro,20.593.055,-100.333.424,175.0,94736.84
555,house,Nuevo León,256.910.283,-1.003.568.071,340.0,310526.32
556,house,Jalisco,20.594.706,-103.396.278,90.0,51578.95
557,house,Veracruz de Ignacio de la Llave,23.634.501,-102.552.788,148.0,81578.95
558,house,Puebla,18.989.918,-982.295,220.0,89473.68
559,house,Puebla,19.043.993,-9.825.757,188.0,78947.37
560,house,Hidalgo,201.213.329,-987.818.531,66.0,34210.53
562,house,Nayarit,20.733.392,-105.288.009,172.0,118421.05
563,apartment,Distrito Federal,19.400.249,-99.177.444,150.0,273684.21
565,house,Yucatán,21.023.252,-89.614.571,300.0,163157.89
566,house,Hidalgo,20.124.367,-98.735.725,176.0,82473.68
567,house,Veracruz de Ignacio de la Llave,25.510.947,-103.357.724,146.0,47368.42
568,apartment,Distrito Federal,19.480.501,-99.178.139,70.0,45789.47
569,house,Yucatán,21.030.668,-89.599.258,305.0,189473.68
570,house,Querétaro,20.679.045,-100.341.225,157.0,102631.58
571,house,Aguascalientes,219.633.957,-102.343.524,146.0,41578.95
572,house,Baja California,32.469.498,-11.696.022,111.0,34210.53
574,house,Tamaulipas,22.329.824,-97.880.325,138.0,83157.89
575,apartment,Yucatán,21.039.522,-89.563.911,145.0,126296.53
576,house,Chiapas,19.701.769,-101.145.103,120.0,34210.53
577,apartment,Guerrero,16.870.413,-99.873.192,150.0,192105.26
579,house,Estado de México,19.765.149,-98.646.915,380.0,104736.84
580,apartment,Distrito Federal,19.372.248,-99.133.377,65.0,56571.16
581,house,Distrito Federal,19.280.767,-99.033.615,349.0,95343.42
583,apartment,Distrito Federal,19.389.791,-99.164.696,154.0,263157.89
584,house,Yucatán,21.039.522,-89.563.911,350.0,160526.32
585,house,Estado de México,19.668.947,-99.224.525,90.0,40000.0
586,house,Puebla,19.009.069,-98.196.693,148.0,89473.68
587,house,Baja California,32.494.823,-117.016.725,92.0,51578.95
588,apartment,Distrito Federal,19.314.545,-99.140.672,122.0,244736.84
589,house,San Luis Potosí,221.447.396,-1.010.273.412,166.0,100000.0
590,house,Jalisco,2.064.338,-103.431.613,120.0,71052.63
592,house,Baja California,30.733.356,-115.984.407,200.0,89473.68
593,house,Estado de México,19.553.615,-99.248.715,260.0,147368.42
594,apartment,Distrito Federal,19.405.298,-99.164.986,80.0,225263.16
595,house,Querétaro,205.969.621,-1.003.337.597,193.0,118421.05
597,house,Morelos,23.634.501,-102.552.788,115.0,56842.11
598,house,Distrito Federal,1.934.016,-99.194.081,90.0,79953.95
599,house,Yucatán,21.075.163,-89.516.731,185.0,75263.16
600,house,Tamaulipas,22.257.896,-9.786.808,200.0,142105.26
601,apartment,Guerrero,168.531.086,-998.236.533,138.0,68421.05
602,house,Puebla,19.027.384,-98.265.213,160.0,121052.63
603,house,Estado de México,19.309.069,-99.602.311,146.0,100000.0
605,house,Sinaloa,2.320.485,-106.424.401,200.0,118421.05
606,house,Chihuahua,28.631.943,-106.117.668,170.0,81578.95
607,house,Yucatán,210.399.331,-895.965.747,235.0,128218.68
609,house,Guerrero,168.808.724,-999.359.641,104.0,44736.84
610,house,Baja California Sur,24.125.583,-110.330.846,128.0,94210.53
612,house,Estado de México,19.269.808,-99.593.781,238.0,197368.42
613,apartment,Distrito Federal,1.941.498,-99.177.444,164.0,289473.68
614,house,Yucatán,20.996.355,-89.583.946,248.0,126315.79
615,house,Morelos,18.954.132,-99.266.083,85.0,55263.16
616,house,Estado de México,19.494.789,-99.270.887,151.0,105789.47
617,house,Guerrero,176.474.239,-1.015.455.504,119.0,125073.68
618,house,Estado de México,192.666.119,-996.403.991,191.0,115789.47
619,house,Quintana Roo,21.161.908,-868.515.279,210.0,103947.37
620,apartment,Distrito Federal,19.377.171,-99.188.503,72.0,106736.84
621,apartment,Distrito Federal,192.790.911,-992.114.234,76.0,40593.79
622,house,Jalisco,20.660.534,-103.318.809,345.0,68421.05
623,house,Veracruz de Ignacio de la Llave,2.095.618,-97.408.578,112.0,105263.16
624,house,San Luis Potosí,22.141.575,-100.900.192,229.0,113084.21
625,apartment,Distrito Federal,19.443.178,-9.920.237,115.0,238684.21
626,house,Yucatán,210.525.830.247,-895.386.385.918,168.0,80711.37
627,house,Estado de México,19.621.174,-99.148.073,100.0,36842.11
628,house,Puebla,18.915.431,-98.435.252,200.0,99473.68
631,house,Tabasco,17.962.037,-92.973.569,139.0,65789.47
632,apartment,Distrito Federal,193.010.279.716,-991.442.191.601,108.0,86842.11
634,apartment,Veracruz de Ignacio de la Llave,20.949.051,-97.364.006,300.0,194736.84
635,house,Estado de México,19.627.731,-9.930.194,146.0,45789.47
636,house,Baja California Sur,240.390.214.553,-1.103.097.617.626,250.0,155263.16
637,house,Quintana Roo,21.112.447,-8.685.264,180.0,131578.95
638,apartment,Distrito Federal,19.451.872,-99.173.522,70.0,66842.11
639,house,Morelos,18.913.485,-99.240.456,80.0,68421.05
640,house,Morelos,18.840.925,-98.934.196,110.0,94736.84
641,apartment,Distrito Federal,193.819.271,-991.891.539,90.0,178447.37
642,house,Veracruz de Ignacio de la Llave,25.558.637,-103.449.786,250.0,115789.47
643,house,Jalisco,20.764.135,-103.339.958,140.0,84210.53
644,apartment,Distrito Federal,19.385.989,-99.186.285,107.0,79342.11
646,house,Chihuahua,286.329.957,-1.060.691.004,290.0,195526.32
647,house,Puebla,18.996.482,-98.239.653,100.0,39473.68
648,apartment,Distrito Federal,19.401.507,-9.914.682,65.0,91052.63
649,house,Querétaro,20.726.007,-100.442.642,135.0,115789.47
650,house,Morelos,18.795.519,-99.231.445,165.0,93684.21
651,house,Morelos,18.885.848,-98.973.834,82.0,75694.74
655,house,Querétaro,20.403.807,-99.990.905,110.0,62105.26
656,house,San Luis Potosí,22.134.478,-100.929.138,97.0,40789.47
658,house,Estado de México,195.562.275,-992.674.713,64.0,52631.53
659,apartment,Querétaro,20.726.007,-100.442.642,173.0,231578.95
660,house,Nuevo León,25.757.803,-100.404.541,179.0,99473.68
661,house,San Luis Potosí,221.593.377,-1.010.443.504,187.0,100000.0
662,house,Querétaro,20.726.007,-100.442.642,180.0,127894.74
663,house,Distrito Federal,19.475.765,-99.145,270.0,131578.95
664,house,Querétaro,206.490.506,-1.004.393.293,380.0,300000.0
665,house,Puebla,19.060.701,-98.329.774,255.0,139473.68
666,house,Veracruz de Ignacio de la Llave,25.365.447,-1.009.942,167.0,76000.0
667,apartment,Guerrero,23.634.501,-102.552.788,180.0,105263.16
668,house,Baja California,32.589.504,-115.363.762,86.0,41578.95
669,apartment,Distrito Federal,19.383.952,-99.160.229,110.0,176327.37
670,house,Puebla,1.897.302,-98.206.238,210.0,150000.0
671,apartment,Baja California Sur,241.647.821.422,-1.103.053.683.043,71.0,42105.26
672,apartment,Yucatán,21.072.905,-8.965.963,210.0,104013.16
677,house,Nuevo León,25.758.963,-100.316.811,175.0,65789.47
678,house,Puebla,190.378.006,-983.007.086,165.0,111578.95
680,house,Distrito Federal,193.870.644,-990.362.059,300.0,134210.53
681,house,Estado de México,195.329.337,-99.164.866,290.0,244736.84
683,house,Tlaxcala,1.929.712,-98.255.075,160.0,68421.05
686,house,Morelos,23.634.501,-102.552.788,110.0,68421.05
687,house,Querétaro,207.070.670.337,-1.004.718.160.629,309.0,194736.84
688,house,Puebla,19.046.589,-98.102.929,92.0,33157.89
689,house,Nuevo León,257.394.971,-1.002.754.971,164.0,65789.47
690,house,Veracruz de Ignacio de la Llave,19.100.079,-96.121.007,220.0,150000.0
692,house,San Luis Potosí,22.147.087,-100.960.213,105.0,57894.74
694,house,Guanajuato,211.264.477,-101.611.078,250.0,120526.32
695,house,Morelos,18.917.542,-98.963.181,140.0,76315.79
696,house,Distrito Federal,19.472.128,-99.146.697,190.0,102263.16
697,house,Estado de México,19.234.984,-99.558.175,115.0,110526.32
698,house,Puebla,189.187.144,-984.266.391,90.0,46842.11
699,house,Yucatán,21.075.163,-89.516.731,185.0,89210.53
0,apartment,Distrito Federal,1.952.589,-99.151.703,71.0,48550.59
1,house,Estado de México,192.640.539,-995.727.534,233.0,168636.73
2,house,Estado de México,19.268.629,-99.671.722,300.0,86932.69
4,apartment,Veracruz de Ignacio de la Llave,19.511.938,-96.871.956,84.0,68508.67
5,house,Jalisco,20.689.157,-103.366.728,175.0,102763.0
9,house,Yucatán,210.441.317,-896.216.334,223.0,126477.54
10,house,Quintana Roo,21.129.547,-86.817.017,179.0,121207.64
11,house,Guanajuato,21.003.574,-101.285.683,205.0,226869.1
12,house,Chiapas,19.667.873,-101.233.465,130.0,76395.4
13,apartment,Distrito Federal,19.443.178,-99.144.234,67.0,50052.15
14,apartment,Distrito Federal,19.396.593,-99.133.163,80.0,51076.22
15,house,Guanajuato,211.299.039,-1.016.220.159,263.0,152932.43
16,house,Nuevo León,25.625.994,-100.283.852,367.0,216014.58
17,apartment,Distrito Federal,19.524.143,-99.160.149,60.0,34246.21
18,apartment,Distrito Federal,19.386.959,-99.219.492,120.0,100104.31
20,house,Veracruz de Ignacio de la Llave,20.949.741,-97.396.337,320.0,158059.45
21,house,Morelos,18.920.345,-99.235.603,122.0,103500.79
22,apartment,Guerrero,16.863.794,-99.881.614,191.0,237145.4
23,house,Veracruz de Ignacio de la Llave,19.136.782,-96.123.543,220.0,104319.23
24,apartment,Distrito Federal,19.403.334,-99.145.021,153.0,65633.66
25,house,Yucatán,210.411.724,-895.550.539,205.0,90115.25
26,house,Veracruz de Ignacio de la Llave,25.441.315,-100.987.683,120.0,110667.85
27,house,Baja California,32.425.724,-117.034.189,115.0,62585.3
28,house,Estado de México,19.484.794,-98.874.065,260.0,91674.48
29,apartment,Distrito Federal,19.378.533,-99.187.561,107.0,79443.7
30,house,Nuevo León,25.740.887,-100.385.582,192.0,115910.26
31,house,Chiapas,16.769.737,-93.088.928,106.0,52686.48
32,house,Jalisco,20.650.429,-103.374.611,190.0,150192.08
34,apartment,Distrito Federal,19.387.613,-99.202.726,103.0,50942.31
35,house,Morelos,18.890.867,-99.177.444,171.0,105397.95
36,apartment,Quintana Roo,21.139.086,-8.684.964,203.0,189716.32
37,apartment,Distrito Federal,19.413.079,-99.174.228,140.0,273969.71
38,house,Distrito Federal,19.410.826,-99.143.757,160.0,157532.58
39,house,Morelos,18.900.852,-99.213.448,200.0,173865.39
40,apartment,Distrito Federal,19.428.767,-991.459,75.0,56689.55
41,house,Estado de México,19.595.285,-99.050.201,149.0,100104.31
42,apartment,Estado de México,19.531.834,-99.240.456,117.0,144922.18
43,house,Morelos,18.818.652,-98.936.752,293.0,110667.85
44,house,Veracruz de Ignacio de la Llave,23.634.501,-102.552.788,233.0,99577.45
45,house,Quintana Roo,21.137.991,-86.870.964,280.0,92201.34
46,house,Veracruz de Ignacio de la Llave,187.696.195,-95.758.949,160.0,92130.98
47,house,San Luis Potosí,22.169.217.188,-1.010.471.907.892,190.0,99050.58
48,house,Nuevo León,23.634.501,-102.552.788,200.0,98523.72
49,house,Estado de México,19.101.794,-9.887.164,300.0,52686.48
51,house,Veracruz de Ignacio de la Llave,19.517.859,-96.891.403,180.0,123842.59
52,house,Distrito Federal,192.790.911,-992.114.234,117.0,142253.5
53,apartment,Oaxaca,15.752.900.306,-961.357.247.829,83.0,68245.17
54,apartment,Distrito Federal,19.302.422,-99.230.829,104.0,103370.88
55,house,Distrito Federal,19.343.664,-99.212.308,350.0,242357.82
56,apartment,Guerrero,16.868.438,-9.989.028,100.0,79029.72
58,house,Morelos,1.893.409,-99.254.997,198.0,123813.23
59,house,Estado de México,19.534.415,-99.023.333,280.0,55039.77
61,house,Puebla,19.043.223,-98.268.716,168.0,92201.34
62,apartment,Puebla,190.527.224.248,-982.346.042.991,75.0,81683.41
64,house,Morelos,18.981.213,-99.206.345,200.0,115910.26
65,apartment,Distrito Federal,19.395.097,-99.150.424,80.0,53158.13
66,house,Morelos,18.862.602,-99.213.448,305.0,189716.32
67,house,Jalisco,20.594.334,-103.425.086,90.0,57955.13
69,house,Puebla,189.915.056,-982.181.614,152.0,105397.95
70,apartment,San Luis Potosí,22.125.832,-101.035.118,144.0,100128.05
72,apartment,Nuevo León,25.592.172,-999.961.947,87.0,173490.81
73,house,Estado de México,19.295.469,-99.692.619,84.0,49986.51
74,house,Guanajuato,20.703.063,-101.339.442,90.0,55320.8
75,house,Chiapas,19.670.241,-101.190.542,190.0,165962.42
76,house,Yucatán,209.591.553.064,-89.627.494.812,135.0,89587.99
77,house,Jalisco,20.635.013,-10.342.725,200.0,120652.04
78,house,Chiapas,19.673.779,-101.187.927,260.0,158059.45
79,apartment,Tabasco,17.997.911,-92.923.836,125.0,210745.93
80,apartment,Estado de México,19.508.253,-99.254.997,113.0,153686.47
81,apartment,Morelos,18.937.398,-99.246.207,127.0,131747.44
82,apartment,Baja California,32.486.253,-117.054.332,63.0,36817.31
83,house,Puebla,189.802.279.987,-982.865.452.766,272.0,210795.91
